gerne,interpret,album,release_year,songtitle
Schlager,Andrea Berg,Machtlos,2003,Machtlos
Schlager,Andrea Berg,Machtlos,2003,Dieser Sommer mit dir
Schlager,Andrea Berg,Machtlos,2003,Die Nacht ist so lang
Schlager,Andrea Berg,Machtlos,2003,Sie ist noch da
Schlager,Andrea Berg,Machtlos,2003,Mama
Schlager,Andrea Berg,Machtlos,2003,Ich tanz den Blues allein
Schlager,Andrea Berg,Machtlos,2003,Kleines Wunder
Schlager,Andrea Berg,Machtlos,2003,Ein Schiff wird kommen
Schlager,Andrea Berg,Du bist frei,2004,Und dann fehlt mir der Mut
Schlager,Andrea Berg,Du bist frei,2004,Weil ich dich liebe
Schlager,Andrea Berg,Du bist frei,2004,Schwarzes Labyrinth
Schlager,Andrea Berg,Du bist frei,2004,Kilimandscharo
Schlager,Andrea Berg,Du bist frei,2004,So wie beim ersten Mal
Schlager,Andrea Berg,Du bist frei,2004,Schau mir nochmal ins Gesicht
Schlager,Andrea Berg,Du bist frei,2004,In dieser Nacht
Schlager,Andrea Berg,Du bist frei,2004,Doch träumen will ich nur mit dir allein
Schlager,Andrea Berg,Du bist frei,2004,Vielleicht verstehst du mich
Schlager,Andrea Berg,Du bist frei,2004,Sie ist die Frau
Schlager,Andrea Berg,Du bist frei,2004,Du bist frei
Schlager,Andrea Berg,Du bist frei,2004,Bittersüße Zärtlichkeit
Schlager,Andrea Berg,Splitternackt,2006,Du wolltest mich für eine Nacht
Schlager,Andrea Berg,Splitternackt,2006,Auch wenn ich fühl wie du
Schlager,Andrea Berg,Splitternackt,2006,Alles an mir
Schlager,Andrea Berg,Splitternackt,2006,Splitternackt
Schlager,Andrea Berg,Splitternackt,2006,Warum belügst du mich
Schlager,Andrea Berg,Splitternackt,2006,Doch du sagst nicht wann
Schlager,Andrea Berg,Splitternackt,2006,Ein bisschen Wahnsinn
Schlager,Andrea Berg,Splitternackt,2006,Jedes Feuer stirbt einmal im Regen
Schlager,Andrea Berg,Splitternackt,2006,Geh noch nicht
Schlager,Andrea Berg,Splitternackt,2006,"Nein, das träum ich nicht allein"
Schlager,Andrea Berg,Dezember Nacht,2007,Seit tausend Jahren
Schlager,Andrea Berg,Dezember Nacht,2007,Dezember Nacht
Schlager,Andrea Berg,Dezember Nacht,2007,Leise rieselt der Schnee
Schlager,Andrea Berg,Dezember Nacht,2007,Die Kraft der Liebe
Schlager,Andrea Berg,Dezember Nacht,2007,Süßer die Glocken nie klingen
Schlager,Andrea Berg,Dezember Nacht,2007,Die Spuren sind längst geschmolzen
Schlager,Andrea Berg,Dezember Nacht,2007,In dieser Nacht war ein Engel da
Schlager,Andrea Berg,Dezember Nacht,2007,Oh Tannenbaum
Schlager,Andrea Berg,Dezember Nacht,2007,Aba Heidschi Bumbeidschi
Schlager,Andrea Berg,Schwerelos,2010,Du kannst noch nicht mal richtig lügen
Schlager,Andrea Berg,Schwerelos,2010,Ich liebe das Leben
Schlager,Andrea Berg,Schwerelos,2010,Schwerelos
Schlager,Andrea Berg,Schwerelos,2010,Zum Teufel mit der Einsamkeit
Schlager,Andrea Berg,Schwerelos,2010,Ich liebe Dich
Schlager,Andrea Berg,Schwerelos,2010,Sag mir doch
Schlager,Andrea Berg,Schwerelos,2010,Endlich Du
Schlager,Andrea Berg,Schwerelos,2010,Schenk mir einen Stern
Schlager,Andrea Berg,Schwerelos,2010,Nein!
Schlager,Andrea Berg,Schwerelos,2010,Halt mein Herz in der Hand
Schlager,Andrea Berg,Schwerelos,2010,Wer einmal lügt
Schlager,Andrea Berg,Schwerelos,2010,Diese Träne
Schlager,Andrea Berg,Abendteuer,2011,Piraten wie wir
Schlager,Andrea Berg,Abendteuer,2011,Lebenslänglich
Schlager,Andrea Berg,Abendteuer,2011,Flieg mit mir fort
Schlager,Andrea Berg,Abendteuer,2011,Herztattoo
Schlager,Andrea Berg,Abendteuer,2011,Seelenverwandt
Schlager,Andrea Berg,Abendteuer,2011,Ich schieß dich auf den Mond
Schlager,Andrea Berg,Abendteuer,2011,Das kann kein Zufall sein
Schlager,Andrea Berg,Abendteuer,2011,Lieber Gott
Schlager,Andrea Berg,Abendteuer,2011,Dein Engel
Schlager,Andrea Berg,Abendteuer,2011,Über alle sieben Meere
Schlager,Andrea Berg,Abendteuer,2011,Einmal Himmel und zurück
Schlager,Andrea Berg,Abendteuer,2011,Brennendes Herz
Schlager,Andrea Berg,Abendteuer,2011,Du bist gegangen
Schlager,Andrea Berg,Abendteuer,2011,Ist es zu spät
Schlager,Andrea Berg,Atlantis,2013,Atlantis lebt
Schlager,Andrea Berg,Atlantis,2013,Das Gefühl
Schlager,Andrea Berg,Atlantis,2013,Davon geht die Welt nicht unter
Schlager,Andrea Berg,Atlantis,2013,Der letzte Tag im Paradies
Schlager,Andrea Berg,Atlantis,2013,Wir können nicht verlieren
Schlager,Andrea Berg,Atlantis,2013,Liebe ist mehr
Schlager,Andrea Berg,Atlantis,2013,Bin ich von allen guten Geistern verlassen
Schlager,Andrea Berg,Atlantis,2013,Ich will nicht länger davon träumen
Schlager,Andrea Berg,Atlantis,2013,Unser bester Moment
Schlager,Andrea Berg,Atlantis,2013,Wirst du mich lieben
Schlager,Andrea Berg,Atlantis,2013,Lass mich einfach weiter träumen
Schlager,Andrea Berg,Atlantis,2013,Fliegst du immer noch so hoch
Schlager,Andrea Berg,Atlantis,2013,Träumer wie wir
Schlager,Andrea Berg,Atlantis,2013,Auf zu neuen Abenteuern
Schlager,Andrea Berg,Atlantis,2013,Vergessen und verzeihen
Schlager,Andrea Berg,Atlantis,2013,Himmel auf Erden
Schlager,Andrea Berg,Atlantis,2013,Vorübergehend nicht zu erreichen
Schlager,Andrea Berg,Atlantis,2013,Im nächsten Leben
Schlager,Andrea Berg,Atlantis,2013,Hallo
Schlager,Andrea Berg,Atlantis,2013,Du bist da
Schlager,Andrea Berg,Atlantis,2013,Weil du ein Zauberer bist
Schlager,Andrea Berg,Atlantis,2013,Morgen werd ich gehn
Schlager,Andrea Berg,Atlantis,2013,Dein Licht am Horizont
Schlager,Andrea Berg,Atlantis,2013,Nicht irgendwann
Schlager,Andrea Berg,Atlantis,2013,Ich geh mit dir
Schlager,Andreas Gabalier,Da komm ich her,2009,So liab hob i di
Schlager,Christian Anders,Es fährt ein Zug nach Nirgendwo,1972,Es fährt ein Zug nach Nirgendwo
Schlager,Christian Anders,Es fährt ein Zug nach Nirgendwo,1972,6 Uhr früh in den Straßen
Schlager,Christian Anders,Es fährt ein Zug nach Nirgendwo,1972,Deine Stimme in der Brandung
Schlager,Christian Anders,Einsamkeit hat viele Namen,1974,Einsamkeit hat viele Namen
Schlager,Christian Anders,Einsamkeit hat viele Namen,1974,Warum ist die Welt ohne Liebe
Schlager,Christian Anders,Einsamkeit hat viele Namen,1974,Das Schiff der großen Illusionen
Schlager,Christian Anders,Der letzte Tanz,1975,Der letzte Tanz
Schlager,Christian Anders,Der letzte Tanz,1975,Wenn die Liebe dich vergißt
Schlager,Christian Anders,Nur mit dir will ich leben,1976,Nur mit dir will ich leben
Schlager,Christian Anders,Nur mit dir will ich leben,1976,Der Brief
Schlager,Christian Anders,"Love, das ist die Antwort",1979,"Love, das ist die Antwort"
Schlager,Christian Anders,"Love, das ist die Antwort",1979,"Donnerstag, 13. Mai"
Schlager,Costa Cordalis,Wo mein Träume sind ,1973,S.O.S.
Schlager,Costa Cordalis,Wo mein Träume sind ,1973,Carolina komm
Schlager,Costa Cordalis,Sommerträume,1975,Carolina komm
Schlager,Costa Cordalis,Sommerträume,1975,"Steig in das Boot heute Nacht, Anna Lena"
Schlager,Costa Cordalis,Sommerträume,1975,Shangri - La
Schlager,Costa Cordalis,Sommerträume,1975,Es stieg ein Engel vom Olymp
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Du
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Anita
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Nimm Das Nächste Schiff Nach Rhodos
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Don Pedro
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Carolina komm
Schlager,Costa Cordalis,Die Großen Erfolge,1978,Die Blumen der Nacht
Schlager,Costa Cordalis,Die Großen Erfolge,1978,S.O.S.
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Mendocino
