gerne,interpret,album,release_year,songtitle,lyrics
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Oft gefragt,"Du hast mich angezogen, ausgezogen, großgezogen Und wir sind umgezogen, ich hab dich angelogen! Ich nehme keine Drogen Und in der Schule war ich auch Du hast dich oft gefragt, was mich zerreißt Ich wollte nicht, dass du es weißt Du warst allein zu Haus', hast mich vermisst Und dich gefragt, was du noch für mich bist Und dich gefragt, was du noch für mich bist Zu Hause bist immer nur du Zu Hause bist immer nur du Du hast mich abgeholt und hingebracht Bist mitten in der Nacht wegen mir aufgewacht Ich hab in letzter Zeit zu oft daran gedacht Wir waren in Prag, Paris und Wien In der Bretagne und Berlin, aber nicht in Kopenhagen Du hast dich oft gefragt, was mich zerreißt Und ich hab aufgehört, mich das zu fragen Du warst allein zu Haus', hast mich vermisst Und dich gefragt, was du noch für mich bist Und dich gefragt, was du noch für mich bist Zu Hause bist immer nur du Zu Hause bist immer nur du Ich hab keine Heimat, ich hab nur dich Du bist zu Hause für immer und mich Du bist zu Hause für immer und mich Du bist zu Hause für immer und mich Du bist zu Hause für immer und mich Du bist zu Hause für immer und mich Hab keine Heimat, ich hab nur dich Du bist zu Hause für immer und mich"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Pocahontas,"An der Haltestelle stehen und es tut weh Dich schon wieder so wieder zu sehen Und es tut weh, dass wir gleich wieder gehen Und es tut weh, dass man sich nur sieht Weil bei mir so viel Zeug von dir rumliegt Das ich nicht mehr ertrage Ich halt' dich nicht fest Und lass' dich nicht los Du gibst mir den Rest Die Tasche ist groß Es tut mir leid Pocahontas Ich hoffe du weißt das! Es tut mir leid Pocahontas Ich hoffe du weißt das! Und eigentlich sind wir viel zu lang zusammen Um jetzt damit aufhören Aber das ist 'n verdammt beschissener Grund Und mir ist nicht egal, wie gut du mich kennst Und mir ist nicht egal, wie du mich nennst Und mir ist nicht egal, wo du grade pennst Es tut mir leid Pocahontas Ich hoffe du weißt das! Es tut mir leid Pocahontas Ich hoffe du weißt das! Tut mir so leid Pocahontas! Pocahontas Pocahontas Pocahontas Es tut mir leid Pocahontas Ich hoffe du weißt das! Es tut mir leid Pocahontas Du weißt das! Ich halt' dich nicht fest Und lass' dich nicht los Ich halt' dich nicht fest"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Es geht mir gut,"Du hörst dir tausend Geschichten an Was ich alles machen werde, wie und wo und wann Und dieses und jenes Aber alles nichts Konkretes Ich stell mich selber dar Als ob nix war Und ich sag: ""Über gestern sprechen wir morgen, mach' dir keine Sorgen Du machst dir unnötig Sorgen"" Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Und dann stehst du wieder vor meiner Tür Und fragst mich ""Wie geht es dir?"" Und dann sag' ich dir, was du hören willst Und dann bist du wieder still Ach weißt du, muss, muss, bei dir? Und sonst so? Was geht heute Abend? Ach weißt du, muss, muss, bei dir? Und sonst so? Was geht heute Abend? Immer die gleichen Fragen! Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Und wie geht's dir denn so? Und das hätte ich an deiner Stelle auch gesagt Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Es geht mir gut, es geht mir eigentlich immer gut Es geht mir gut Frag' doch nicht so blöd!"
Rock,AnnenMayKantereit,Alles nix konkretes,2016, 3. Stock,"Immer wieder schön, dich wieder zu sehen Wird immer schlimmer, wenn du gehst Am Bahnhof stehst, um den Zug zu nehmen Sich lang' nicht wiedersehen Wird schon irgendwie gehen Macht manchmal traurig Ich würd gern mit dir in 'ner Altbauwohnung wohn' Zwei Zimmer, Küche, Bad und 'n kleiner Balkon Ich würd gern mit dir in 'ner Altbauwohnung wohn' Mit 'nem kleinen Balkon Immer wieder Warten, in leisen Telefonaten Worauf genau, weiß ich nicht, vielleicht auf dein Gesicht Erzähl mir von dir, um mich abzulenken Wenn das traurige-Gedanken-Denken beginnt Beide blind, jeder auf seine Weise Schisser Vertrauen ist gut, Kontrolle für Besserwisser Ich würd gern mit dir in 'ner Altbauwohnung wohn' Zwei Zimmer, Küche, Bad und 'n kleiner Balkon Ich würd gern mit dir in 'ner Altbauwohnung wohn' Mit 'nem kleinen Balkon Unsere Telefonate haben kein Ende aus und gut Gab es nie, legst du als Erste auf Meinem Hochbett liegt ein Bild von dir Unsere Telefonate haben kein Ende aus und gut Gab es nie, legst du als Erste auf Meinem Hochbett liegt ein Bild von dir Ich würd gern mit dir in 'ner Altbauwohnung wohn' Zwei Zimmer, Küche, Bad und 'n kleiner Balkon Ich würd gern mit dir in 'ner Altbauwohnung wohn' Ich würd' auch manchmal morgens Brötchen holen"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Wohin du gehst,"Wohin du gehst sagst du nicht mehr Wenn wir uns sehen fällt mir das Fragen schwer Du hast jetzt neue Leute, die dich besser kennen Die nach'm Feiern bei dir pennen Du hast jetzt neue Leute, die dich besser kennen Die nach'm Feiern bei dir pennen Du kennst mich nur noch wie ich früher war Rote Augen, langes Haar Wenn wir uns sehen, dann ist das immer nur 'ne Stunde Um elf willst du schon gehen und holst die letzte Runde Wohin du gehst sagst du nicht mehr Wenn wir uns sehen fällt mir das Fragen schwer Wohin du gehst sagst du nicht mehr Mir fällt das Fragen schwer Ich hab' mich oft gefragt, was dich zerreißt Du wolltest nicht, dass ich es weiß Zwischen uns wird's immer anonymer Und wir reden gar nicht 'drüber Hast du vergessen, wie es früher war? Rote Augen, langes Haar Wohin du gehst sagst du nicht mehr Wenn wir uns sehen fällt mir das Fragen schwer Wohin du gehst sagst du nicht mehr Mir fällt verdammt nochmal das Fragen schwer Ich hab' dir nie verziehen einfach wegzuziehen Ich hab' dich noch nicht mal angeschrien Du kennst mich nur noch, wie ich früher war Breites Grinsen, langes Haar Und manchmal sehen wir uns bei Leuten, die wir beide kennen Aber anstatt wegzurennen schauen wir uns heimlich an Weil man sich nicht mehr kennenlernen kann Weil man sich nicht mehr kennenlernen kann Wohin du gehst sagst du nicht mehr Mir fällt das Fragen schwer Wohin du gehst (Wohin du gehst) sagst du nicht mehr (Sagst du nicht mehr) Wohin du gehst (Wohin du gehst) Wohin du gehst (Wohin du gehst) (Sagst du nicht mehr) Wohin du gehst (Wohin du gehst) Wohin du gehst sagst du nicht mehr Wenn wir uns sehen fällt mir das Fragen schwer Wohin du gehst sagst du nicht mehr Mir fällt das Fragen schwer Wohin ich geh' sag ich nicht mehr Dir fällt bestimmt das Fragen schwer"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Bitte bleib,"Und du sagst, dass du gehst Und du sagst, dass du meinst was du sagst, wenn du gehst Und du sagst, dass du hoffst, dass ich das versteh Und du sagst, dass du hoffst, dass du einer meiner Freunde bleibst Und dass du niemals schreibst wie's dir geht Und du sagst, es tut dir fürchterlich leid Und dann sagst du zu mir: Sag' doch auch mal was Und dann denk' ich mir: Gut, bevor du gehst, sag' ich was Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Und wunder' dich nicht, wenn alles scheiße ist und du mich vermisst Und vielleicht hätte ich das auch nur ganz gern gesagt, aber hab' es nicht Eigentlich wollt' ich bloß sagen: Ich hab' dir nicht verzieh'n Man könnte sozusagen sagen: Ich bin krass bedient Und ich versprech' dir, wenn wir uns das nächste Mal zufällig irgendwo sehen Dann wird das richtig peinlich! Und überhaupt dieses: sag doch auch mal was Ich sag doch dauernd was Ich kann mich langsam selber nicht mehr hören Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Bitte bleib', bitte bleib', bitte bleib', bitte bleib' nicht wie du bist Und ruf mich nicht mitten in der Nacht an, wenn alles scheiße ist und du mich vermisst"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Neues Zimmer,"In meinem neuen Zimmer stehen noch immer die Kartons Halb ausgepackt und die Wand ist nackt Und über mir trinken lauter laute Leute Bier Bis kurz nach vier und ich bin abgefuckt Und die Matratze kratzt in der ersten Nacht Ohne Lattenrost, ich krieg noch keine Post Ummelden ist noch mehr Stress, gut, dass ich das eh vergess' In meinem neuen Zimmer stehen noch immer die Kartons Und ich weiß nicht, was ich als erstes machen soll In meinem neuen Zimmer In meinem neuen Zimmer In meinem neuen Zimmer In meinem neuen Zimmer Jede Nacht werd ich wach, weil ich die neuen Geräusche Um mich rum nicht richtig kenne Und wenn ich endlich penne, ist schon wieder hell am Morgen Und ich hab die gleichen Sorgen wie am Tag zuvor Ich muss tausend Sachen machen Und ich nehm' mir viel zu viel vor Ich hab nur ausgepackt, nicht eingeräumt Ich hab im leeren Raum geträumt, wie's wohl aussehen könnte Und jetzt hilft mir die Glühbirne beim Sachen suchen Weil ich die festen Plätze erst noch finden muss In meinem neuen Zimmer stehen noch immer die Kartons Und ich weiß nicht, was ich als erstes machen soll In meinem neuen Zimmer In meinem neuen Zimmer In meinem neuen Zimmer In meinem neuen Zimmer"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Barfuß am Klavier,"Und ich sitz schon wieder Barfuß am Klavier Ich träume Liebeslieder Und sing dabei von dir Und du und ich - wir waren wunderlich Nicht für mich Für die, die es störte Wenn man uns Nachts hörte Ich hab mit dir gemeinsam, einsam Rumgesessen und geschwiegen Ich erinner' mich am besten Ans gemeinsam einsam liegen Jeden morgen Danach, bei dir Du nackt im Bett Und ich barfuß am Klavier Und ich sitz schon wieder Barfuß am Klavier Ich träume Liebeslieder Und sing dabei von dir Du und ich - es ging so nicht Du wolltest alles wissen Und das hat mich vertrieben Eigentlich dich Du bist nicht länger geblieben Bei mir Und so sitz ich um zu lieben Lieber barfuß am Klavier Und ich sitz schon wieder Barfuß am Klavier Ich träume Liebeslieder Und sing dabei von dir Und du und ich - wir waren zu wenig Und ich sitz schon wieder Barfuß am Klavier Und träum dabei von dir Ich träum dabei von dir Ich träum dabei von dir Und träum dabei von dir"
Rock,AnnenMayKantereit,Alles nix konkretes,2016, Länger bleiben,"Die nächste Bahn kommt erst in ner Stunde Komm ich hol noch ne Runde Und ich muss auch früh raus Das ist keine gute Ausrede Und bei dem Regen will ich eh nicht nach Hause gehen Du kannst gern mal nach draußen sehen Das ist ne' viel bessere Ausrede als deine Du weißt was ich meine Und du musst nicht Aber du könntest Noch n' bisschen Länger bleiben Willst du nicht länger bleiben? Das ist echt kein Problem Willst du nicht länger bleiben? Und warum willst du jetzt schon gehen? Willst du nicht länger bleiben? Das ist echt kein Problem! Willst du nicht länger bleiben? Und warum willst du jetzt schon gehen? Soll ich noch kurz zum Kiosk gehen? Und dann kauf ich so ne billige Flasche Wein Und die trinken wir zu zweit Und dann rauchen wir am Fenster Aber wir müssen ein bisschen leiser sein Sonst wacht mein Mitbewohner auf Und dann will der auch was trinken Und du probierst schon den ganzen Abend zu gehen ohne, dass es komisch ist Aber ich sorg schon dafür, dass es immer komisch ist Willst du nicht länger bleiben? Das ist echt kein Problem Willst du nicht länger bleiben? Und warum willst du jetzt schon gehen? Willst du nicht länger bleiben? Das ist echt kein Problem Willst du nicht länger bleiben? Und warum willst du jetzt schon gehen? Und warum willst du jetzt schon gehen? Und warum willst du jetzt schon gehen?"
Rock,AnnenMayKantereit,Alles nix konkretes,2016,Das Krokodil,"Räumen sie das Zimmer bis um zehn Frühstück gibt's ab acht Kaffee, Marmelade und verdünnten Orangensaft Eigentlich ist jeder Abend eine lange Nacht Auto fahren, sitzen, schlafen mit dem Kopf am Fenster Und hinten liegen die Jacken oder einer von uns pennt da Und manchmal fahren wir raus und machen Pause Und morgen ist München und irgendwann ist auch wieder zu Hause Die Zigaretten werden vorgedreht vor jedem Raststättenhalt Das Krokodil raucht zu viel (Ach ja?) Das Krokodil raucht zu viel (Ach ja?) Das Krokodil, das Krokodil Das Krokodil raucht zu viel Schön, dass ihr da seid, wurde auch Zeit Und wo wart ihr gestern und wie lange seid ihr schon auf Tour? Und Essen gibt's um 18 Uhr Toilette ist auf dem Gang, dahinten sind die Garderoben Dritte Tür links und dann ganz nach oben Und Duschen haben wir leider nicht Sorry für das Neonröhrenlicht Und wenn ihr Fragen habt, fragt mich Und wenn ihr mich fragt Ich glaub, ihr kommt bestimmt mal ganz groß raus Und bevor ich es vergesse: Im ganzen Haus herrscht Rauchverbot Das Krokodil raucht zu viel (Ach ja?) Das Krokodil raucht zu viel (Ach ja?) Das Krokodil, das Krokodil Das Krokodil raucht zu viel Was soll das denn heißen? Im ganzen Haus herrscht Rauchverbot? Das Krokodil raucht zu viel (Ach ja?) Das Krokodil raucht zu viel (Ach ja?) Das Krokodil, das Krokodil Das Krokodil raucht zu viel"
Rock,Bela B,Bingo,2006,Letzter Tag,"Du hast gewusst, eines Tages musst du gehn So gehts uns allen mal Was gibts daran falsch zu verstehn? Der Tod ist nichts auf das man sich konzentriert Wir denken nie daran Bis es passiert Ich bin hilflos Weiß nicht, wies weitergehen soll Was mache ich bloß? Fühl mich so hilflos Ich weiß nicht, was du willst Weiß nicht, wie du dich fühlst Weiß nicht, ob ichs ertrag Und selbst jetzt bist du stark An deinem letzten Tag An deinem letzten Tag Ich denk, was haben wir zusammen verpasst Ich wünsche mir so sehr Dass du noch etwas mehr Zeit hast Ich weiß, es war nicht immer ganz so leicht mit mir Ich will stark sein Bleib bis zum Schluss bei dir Ich will stark sein So stark wie du Ich weiß nicht, was du willst Weiß nicht, wie du dich fühlst Weiß nicht, ob ichs ertrag Und selbst jetzt bist du stark An deinem letzten Tag An deinem letzten Tag Noch kann ich dich spürn Doch ich werd dich verliern Weiß nicht, ob ichs ertrag Und du bist so unendlich stark An deinem letzten Tag An deinem letzten Tag An deinem letzten Tag An deinem letzten Tag"
Rock,Bela B,Bingo,2006,Sie Hat Was Vermisst,"Ich traf dich an als gebrochenen Mann Das Unfassbare war geschehn Sie hat dich verlassen Du kannst es nicht fassen Und versuchst zu verstehn, denn du hast es nicht kommen gesehn Es ist einfach vorbei, ohne Streit und Geschrei Und du verstehst die Welt nicht mehr Siehst nur deinen Schmerz Dein gebrochenes Herz Und kannst es nicht verstehn, denn du hast es nicht kommen gesehn Sie ist gegangen und ließ dich ratlos zurück Sie ist gegangen und mit ihr ging auch dein Glück Ich kann verstehen, dass du traurig und auch wütend auf sie bist Doch sie ist gegangen, denn sie hat was vermisst Du hast ihr vertraut, hast immer auf sie gebaut Du wusstest, was sie anpackt, wird gut So hat sie sich entfernt Sie wurde kastig wie Bernd Es wurde still um euch zwei, darum hörtest du nicht ihren Schrei Sie ist gegangen und ließ dich ratlos zurück Sie ist gegangen und mit ihr ging auch dein Glück Ich kann verstehen, dass du traurig und auch wütend auf sie bist Doch sie ist gegangen, denn sie hat was vermisst Sie ist gegangen und ließ dich ratlos zurück Sie ist gegangen und mit ihr ging all dein Glück Denk noch einmal darüber nach, auch wenn du wütend auf sie bist Sie ist gegangen, denn sie hat dich vermisst Ja, sie ist gegangen, denn sie hat dich vermisst Hat dich vermisst Hat dich vermisst"
