gerne,interpret,album,release_year,songtitle
Rap,257ers,Boomshakkalakka,2014,Vergleiche a la Boss
Rap,257ers,Boomshakkalakka,2014,Warum
Rap,257ers,Boomshakkalakka,2014,Panic
Rap,257ers,Boomshakkalakka,2014,Irgendwo in Vegas
Rap,257ers,Boomshakkalakka,2014,Übertriebener Rap
Rap,257ers,Boomshakkalakka,2014,Kalle macht den Song
Rap,257ers,Boomshakkalakka,2014,Baby du riechst
Rap,257ers,Boomshakkalakka,2014,Behindert
Rap,257ers,Boomshakkalakka,2014,Piraten
Rap,257ers,Boomshakkalakka,2014,Aus dem Weg
Rap,257ers,Boomshakkalakka,2014,Jump Mutant Jump!
Rap,257ers,Boomshakkalakka,2014,"104,481"
Rap,257ers,Boomshakkalakka,2014,Gruppenzwang
Rap,257ers,Boomshakkalakka,2014,Samba
Rap,257ers,Boomshakkalakka,2014,Seid ihr dabei
Rap,257ers,Boomshakkalakka,2014,Videospiel
Rap,257ers,Boomshakkalakka,2014,Gib mal ein aus
Rap,Alligatoah,ATTNTAT,2006,Terrorist 06
Rap,Alligatoah,ATTNTAT,2006,Weihnachtsmann
Rap,Alligatoah,ATTNTAT,2006,Ich Hasse
Rap,Alligatoah,ATTNTAT,2006,Der Deal
Rap,Alligatoah,ATTNTAT,2006,Anders
Rap,Alligatoah,ATTNTAT,2006,Counterstrike Song
Rap,Alligatoah,ATTNTAT,2006,Du hast recht
Rap,Alligatoah,ATTNTAT,2006,Glücklich
Rap,Alligatoah,ATTNTAT,2006,Geiselnehmah
Rap,Alligatoah,ATTNTAT,2006,Weib
Rap,Alligatoah,In Gottes Namen,2009,In Gottes Namen
Rap,Alligatoah,In Gottes Namen,2009,Dagegen
Rap,Alligatoah,In Gottes Namen,2009,Eine Welt
Rap,Alligatoah,In Gottes Namen,2009,Ich kann am besten I
Rap,Alligatoah,In Gottes Namen,2009,Zwei Missionare
Rap,Alligatoah,In Gottes Namen,2009,Mein Gott hat den Längsten
Rap,Alligatoah,In Gottes Namen,2009,Reallife 1.6
